[2026-03-07 20:59:09] 🚀 2D 终极万维版启动 (N_BINS=10000)
[2026-03-07 21:39:43] [Worker] k1=np.float64(11.091285002931894), k2=np.float64(11.875309539249471) | MSE=24396.670653 | N=2212 | 2433.2s
[2026-03-07 21:39:45] [Worker] k1=np.float64(10.241159907958306), k2=np.float64(22.197510110995186) | MSE=6269.027989 | N=2202 | 2435.9s
[2026-03-07 21:39:47] [Worker] k1=np.float64(6.370739810182263), k2=np.float64(20.58310627534391) | MSE=416079.215783 | N=2185 | 2437.6s
[2026-03-07 21:39:48] [Worker] k1=np.float64(14.256517269328072), k2=np.float64(8.118579453563664) | MSE=1081350.927018 | N=2215 | 2439.0s
[2026-03-07 21:39:49] [Worker] k1=np.float64(13.259391236795507), k2=np.float64(33.02050535788182) | MSE=3413670.069851 | N=2231 | 2439.2s
[2026-03-07 21:39:49] [Worker] k1=np.float64(5.022628211717471), k2=np.float64(6.48251659087318) | MSE=769652.586644 | N=2158 | 2439.8s
[2026-03-07 21:39:49] [Worker] k1=np.float64(11.927758901696528), k2=np.float64(14.81709770717351) | MSE=73470.272925 | N=2217 | 2440.0s
[2026-03-07 21:39:50] [Worker] k1=np.float64(8.694266957251514), k2=np.float64(-3.7908535904035503) | MSE=120794.329021 | N=2174 | 2440.9s
[2026-03-07 21:39:51] [Worker] k1=np.float64(10.41015080363374), k2=np.float64(3.33884810147846) | MSE=1324314.619625 | N=2196 | 2441.4s
[2026-03-07 21:39:51] [Worker] k1=np.float64(8.777630587028316), k2=np.float64(33.76146525627779) | MSE=895050.298551 | N=2205 | 2442.0s
[2026-03-07 21:39:52] [Worker] k1=np.float64(10.632267970272244), k2=np.float64(2.5694494667090986) | MSE=121644.818901 | N=2199 | 2442.7s
[2026-03-07 21:39:53] [Worker] k1=np.float64(7.057099500523809), k2=np.float64(18.185453050906617) | MSE=350336.148562 | N=2181 | 2443.9s
[2026-03-07 21:39:54] [Worker] k1=np.float64(12.466572700895831), k2=np.float64(1.7112379963654476) | MSE=1533565.058374 | N=2205 | 2444.7s
[2026-03-07 21:39:55] [Worker] k1=np.float64(7.867165614044609), k2=np.float64(28.858629914083398) | MSE=66691.138070 | N=2192 | 2445.0s
[2026-03-07 21:39:55] [Worker] k1=np.float64(12.906678501413536), k2=np.float64(34.54241773358624) | MSE=2273.246211 | N=2231 | 2445.9s
[2026-03-07 21:39:57] [Worker] k1=np.float64(9.695833278472778), k2=np.float64(16.538568776773324) | MSE=4791552.806829 | N=2200 | 2447.4s
[2026-03-07 21:39:57] [Worker] k1=np.float64(13.781659863533324), k2=np.float64(15.289501205103107) | MSE=1165497.567225 | N=2218 | 2447.9s
[2026-03-07 21:39:58] [Worker] k1=np.float64(6.9156321415944655), k2=np.float64(14.284678980280026) | MSE=100320.845975 | N=2171 | 2449.0s
[2026-03-07 21:39:59] [Worker] k1=np.float64(13.599949103869545), k2=np.float64(-1.663015400239427) | MSE=182827.936539 | N=2209 | 2449.4s
[2026-03-07 21:40:00] [Worker] k1=np.float64(12.235081578126751), k2=np.float64(33.42842024685046) | MSE=780364.307243 | N=2229 | 2450.8s
[2026-03-07 21:40:01] [Worker] k1=np.float64(10.188545124978223), k2=np.float64(18.239407350844715) | MSE=26061.277836 | N=2204 | 2451.4s
[2026-03-08 13:55:24] 🚀 2D 终极万维版启动 (N_BINS=10000)
[2026-03-08 14:13:33] [Worker] k1=np.float64(7.009963722192479), k2=np.float64(33.93191823480406) | MSE=2027252.576733 | N=2192 | 1088.9s
[2026-03-08 14:14:12] [Worker] k1=np.float64(6.249277669128497), k2=np.float64(9.803088368490725) | MSE=10155844.702149 | N=2169 | 1127.4s
