nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=7.840327 | 纯缩放 Scale=583.8603 | 全局 MSE=16424.0517 | 耗时=2231.9s
[Worker] 尝试 k=7.798149 | 纯缩放 Scale=255.3916 | 全局 MSE=1246.0788 | 耗时=2231.9s
[Worker] 尝试 k=8.788353 | 纯缩放 Scale=750.1622 | 全局 MSE=35433.1098 | 耗时=2232.7s
[Worker] 尝试 k=9.118599 | 纯缩放 Scale=819.0909 | 全局 MSE=51014.6445 | 耗时=2233.3s
[Worker] 尝试 k=10.845810 | 纯缩放 Scale=654.9296 | 全局 MSE=21417.9681 | 耗时=2234.5s
[Worker] 尝试 k=9.406097 | 纯缩放 Scale=230.9562 | 全局 MSE=1916.7714 | 耗时=2235.7s
[Worker] 尝试 k=10.980089 | 纯缩放 Scale=410.8810 | 全局 MSE=1570.8167 | 耗时=2235.8s
[Worker] 尝试 k=5.685201 | 纯缩放 Scale=523.3073 | 全局 MSE=8742.1010 | 耗时=2235.9s
[Worker] 尝试 k=9.443335 | 纯缩放 Scale=232.5441 | 全局 MSE=1473.1444 | 耗时=2236.0s
[Worker] 尝试 k=12.861366 | 纯缩放 Scale=295.9364 | 全局 MSE=255.9359 | 耗时=2236.2s
[Worker] 尝试 k=12.827384 | 纯缩放 Scale=417.0899 | 全局 MSE=1991.6681 | 耗时=2236.2s
[Worker] 尝试 k=12.635997 | 纯缩放 Scale=661.4226 | 全局 MSE=20805.8056 | 耗时=2236.8s
[Worker] 尝试 k=12.743008 | 纯缩放 Scale=233.9762 | 全局 MSE=2429.0513 | 耗时=2237.8s
[Worker] 尝试 k=13.753645 | 纯缩放 Scale=172.6075 | 全局 MSE=5135.7996 | 耗时=2238.0s
[Worker] 尝试 k=8.351700 | 纯缩放 Scale=448.0988 | 全局 MSE=3505.4916 | 耗时=2239.0s
[Worker] 尝试 k=14.517830 | 纯缩放 Scale=378.0632 | 全局 MSE=566.6606 | 耗时=2239.5s
[Worker] 尝试 k=7.156784 | 纯缩放 Scale=414.8749 | 全局 MSE=2113.5692 | 耗时=2241.6s
[Worker] 尝试 k=6.802689 | 纯缩放 Scale=485.3208 | 全局 MSE=6411.6308 | 耗时=2242.0s
[Worker] 尝试 k=11.458853 | 纯缩放 Scale=2272.4993 | 全局 MSE=819573.5575 | 耗时=2243.6s
[Worker] 尝试 k=8.214216 | 纯缩放 Scale=223.1497 | 全局 MSE=2139.0356 | 耗时=2243.6s
[Worker] 尝试 k=12.013001 | 纯缩放 Scale=2674.9963 | 全局 MSE=1298609.5355 | 耗时=2246.5s
[Worker] 尝试 k=8.112266 | 纯缩放 Scale=368.2765 | 全局 MSE=466.5489 | 耗时=2246.7s
[Worker] 尝试 k=14.813658 | 纯缩放 Scale=217.8948 | 全局 MSE=2756.1909 | 耗时=2247.3s
[Worker] 尝试 k=7.102664 | 纯缩放 Scale=1238.7711 | 全局 MSE=179487.8462 | 耗时=2247.5s
[Worker] 尝试 k=8.276269 | 纯缩放 Scale=277.4011 | 全局 MSE=831.7282 | 耗时=2247.8s
[Worker] 尝试 k=5.432123 | 纯缩放 Scale=936.9755 | 全局 MSE=71613.3381 | 耗时=2248.3s
[Worker] 尝试 k=14.406699 | 纯缩放 Scale=2704.2230 | 全局 MSE=1212733.2415 | 耗时=2248.3s
