nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=9.186093 | MSE=47.4525 | Scale=331.2412 | 耗时=2330.5s
[Worker] k=2.254089 | MSE=63.3406 | Scale=324.2927 | 耗时=2330.6s
[Worker] k=11.907098 | MSE=90.5258 | Scale=326.7626 | 耗时=2330.7s
[Worker] k=7.439272 | MSE=15.5725 | Scale=315.2927 | 耗时=2331.3s
[Worker] k=13.309349 | MSE=89.0002 | Scale=328.8379 | 耗时=2332.0s
[Worker] k=5.102750 | MSE=51.5120 | Scale=322.3994 | 耗时=2332.0s
[Worker] k=2.734935 | MSE=67.2031 | Scale=315.9322 | 耗时=2332.1s
[Worker] k=12.734481 | MSE=60.9986 | Scale=330.1926 | 耗时=2332.2s
[Worker] k=13.681276 | MSE=66.0596 | Scale=338.2985 | 耗时=2332.2s
[Worker] k=3.580087 | MSE=59.4035 | Scale=322.2196 | 耗时=2332.2s
[Worker] k=8.214274 | MSE=54.0551 | Scale=317.3441 | 耗时=2332.5s
[Worker] k=13.405590 | MSE=87.8005 | Scale=317.9043 | 耗时=2333.2s
[Worker] k=7.632474 | MSE=64.7755 | Scale=320.0896 | 耗时=2334.3s
[Worker] k=6.850740 | MSE=108.7721 | Scale=337.5043 | 耗时=2335.0s
[Worker] k=11.794187 | MSE=24.2005 | Scale=311.6982 | 耗时=2335.2s
[Worker] k=14.415860 | MSE=89.4380 | Scale=328.0515 | 耗时=2336.1s
[Worker] k=9.649016 | MSE=22.9529 | Scale=318.4937 | 耗时=2336.2s
[Worker] k=14.199012 | MSE=138.6755 | Scale=335.8796 | 耗时=2336.3s
[Worker] k=7.092109 | MSE=129.2681 | Scale=342.9746 | 耗时=2336.5s
[Worker] k=12.435630 | MSE=98.7839 | Scale=331.4367 | 耗时=2336.8s
[Worker] k=7.422024 | MSE=29.1901 | Scale=315.1992 | 耗时=2337.3s
[Worker] k=11.847054 | MSE=30.5877 | Scale=324.2741 | 耗时=2337.4s
[Worker] k=3.180174 | MSE=46.6612 | Scale=319.9851 | 耗时=2337.5s
